num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2066	0.0228128056597129	0.618438611320678	1002	2	0.939617341527936	34			2167.14	-0.00022260887922635		0.0299999999997453	infill_ei	0.3100000000004	0.00165759102177083	0.946268022991892	54
1689	0.00504992354451529	0.343974657704663	899	1	0.939609243919371	33			4825.51	-0.000273981756851103		0.0300000000002001	infill_ei	0.489999999999782	0.00153494280409496	0.946621392821871	53
1665	0.0390300894355771	0.535419493245952	1185	3773	0.939484893266703	0			240.21				initdesign				1
3000	0.0107456618133073	0.35921928800787	1891	1	0.939453438206987	40			7513.28	-0.00104415571048652		0.0399999999972351	infill_ei	0.409999999999855	0.00174826271192809	0.948098013315782	60
2871	0.0272706491250315	0.378206809013284	1495	60	0.93942084966139	76			4531.36	-0.000408365300750415		0.100000000005821	infill_ei	0.5	0.00354628337390585	0.944565484923131	96
1370	0.0833183276573229	0.326626648044693	2039	908	0.939370958297827	5			591.66	-0.00101739807296835		0.0300000000006548	infill_ei	0.340000000000146	0.00157320929610925	0.943809759003465	25
2598	0.0976376475232259	0.229529074705683	1707	1910	0.939090527289979	0			574.36				initdesign				19
2998	0.0418949864003164	0.232855439359881	1008	2	0.938946505099628	32			2062.34	-0.000184594679954738		0.0700000000000003	infill_ei	0.390000000000001	0.00135296291337299	0.946504799965719	52
1235	0.0132274225986273	0.100095340729344	1818	366	0.938924088276345	4			993.68	-0.000839066117732127		0.0300000000006548	infill_ei	0.469999999999345	0.00177061725407517	0.943392896904018	24
2138	0.099967601611858	0.643534003728603	685	3170	0.938773119429353	24			316.35	-9.51714914230075e-05		0.0300000000006548	infill_ei	1.01999999999862	0.00337202300300693	0.942374957904929	44
2999	0.0935051744616903	0.981086911799936	1317	1	0.938632604372161	29			1111	-4.98244407870064e-05		0.0500000000029104	infill_ei	0.659999999999855	0.00350585399943999	0.941171757463326	49
2995	0.099950690891766	0.805995929750212	2035	2395	0.938369592678714	14			552.889999999999	-0.000286089901853106		0.0199999999967986	infill_ei	0.419999999998254	0.00318245874481146	0.942418228137772	34
2016	0.00645879883698398	0.705260695064079	878	1893	0.93835184331385	22			397.57	-5.85331632485544e-05		0.0300000000006548	infill_ei	0.649999999999636	0.00303242043931095	0.942400856710151	42
2740	0.0189655298255408	0.20739301855282	849	50	0.938294278168086	94			4033.59	-0.000370308155394824		0.119999999995343	infill_ei	0.639999999999418	0.00310473781918799	0.944990993705777	114
237	0.0578739637561456	0.176049095291694	1748	1390	0.938194286236372	0			59.52				initdesign				9
2670	0.00590137699602957	0.296891293714667	1379	40	0.938189700071081	45			9996.02	-0.000758397020789855		0.110000000000582	infill_ei	0.669999999998254	0.00284325378391845	0.946635365095165	65
1681	0.0934541970806832	0.891147510085414	963	4900	0.937965559976967	0			143.58				initdesign				12
652	0.0358851432465273	0.2812431971807	732	2276	0.937927491379667	0			104.12				initdesign				3
1774	0.0496534752577533	0.170738264179723	2043	2915	0.937756487743614	27			363.689999999999	-1.20991528364473e-05		0.360000000000582	infill_ei	1	0.00350080438114326	0.939367844135279	47
2274	0.0190718866785645	0.58597264427047	1847	4348	0.93774770645487	0			256.71				initdesign				13
